contig	qseqid	qstart	qend	sseqid	slen	Protein_Class	Protein_Cluster	Protein_Family
SRR6263206_contigs.fasta	NODE_321935_length_816_cov_1.725361	51	815	SPA_MetaAn_24_l292_st88_e963_se-1_ID=35039_1	292	D	D-III	Undefined
SRR6263206_contigs.fasta	NODE_36976_length_2676_cov_2.792064	1846	1013	11546758_len_305_MetaAn_50	305	B3	B3-IV	Undefined
SRR6263206_contigs.fasta	NODE_36976_length_2676_cov_2.792064	1885	941	SPA_MetaAn_30_l315_st941_e1885_se-1_ID=36976_3	315	B3	B3-IV	Undefined
SRR6263206_contigs.fasta	NODE_400509_length_719_cov_1.831325	616	2	14992923_len_251_MetaAn_25	251	B1	B1-II	Undefined
SRR6263206_contigs.fasta	NODE_4243_length_7989_cov_3.362491	4575	5456	SPA_MetaAn_30_l294_st4575_e5456_se1_ID=4243_4	294	B3	B3-IV	Undefined
SRR6263206_contigs.fasta	NODE_44110_length_2439_cov_7.854446	1767	2438	12084204_len_260_MetaAn_24	260	D	D-III	Undefined
SRR6263206_contigs.fasta	NODE_94688_length_1613_cov_3.721438	1613	759	11019355_len_287_MetaAn_74	287	D	D-III	Undefined
SRR6263258_contigs.fasta	NODE_103063_length_2026_cov_6.748351	1453	527	33482360_len_309_MetaAn_31	309	D	D-III	Undefined
SRR6263258_contigs.fasta	NODE_122731_length_1837_cov_19.358586	899	3	SPA_MetaAn_32_l313_st176_e1114_se1_ID=121067_1	313	A	A-V	Undefined
SRR6263258_contigs.fasta	NODE_1500_length_15408_cov_6.895135	14472	13597	SPA_MetaAn_31_l292_st13597_e14472_se-1_ID=1500_17	292	A	A-IV	Undefined
SRR6263258_contigs.fasta	NODE_1617_length_14913_cov_6.680240	12161	13105	SPA_MetaAn_17_l320_st888_e1847_se-1_ID=73518_3	320	A	A-I	Undefined
SRR6263258_contigs.fasta	NODE_1617_length_14913_cov_6.680240	12146	13117	15324405_len_325_MetaAn_31	325	A	A-I	Undefined
SRR6263258_contigs.fasta	NODE_168381_length_1534_cov_4.064909	981	130	SPA_MetaAn_31_l284_st130_e981_se-1_ID=168381_1	284	D	D-III	Undefined
SRR6263258_contigs.fasta	NODE_183512_length_1460_cov_4.675445	1439	486	SPA_MetaAn_71_l318_st303_e1256_se1_ID=1970_2	318	A	A-I	Undefined
SRR6263258_contigs.fasta	NODE_195715_length_1407_cov_1.916420	203	1147	26562918_len_325_MetaAn_74	325	A	A-I	Undefined
SRR6263258_contigs.fasta	NODE_195715_length_1407_cov_1.916420	167	1162	29793731_len_333_MetaAn_17	333	A	A-I	Undefined
SRR6263258_contigs.fasta	NODE_257933_length_1198_cov_2.993001	147	881	16189565_len_246_MetaAn_17	246	B1	B1-I	Undefined
SRR6263258_contigs.fasta	NODE_2620_length_12409_cov_6.250040	1943	2857	SPA_MetaAn_45_l305_st895_e1809_se1_ID=25891_2	305	B3	B3-IV	Undefined
SRR6263258_contigs.fasta	NODE_344487_length_1006_cov_3.332282	875	84	SPA_MetaAn_17_l315_st2386_e3330_se1_ID=52059_4	315	A	A-V	Undefined
SRR6263258_contigs.fasta	NODE_344487_length_1006_cov_3.332282	866	87	NLA-1	302	A	A-V	NLA
SRR6263258_contigs.fasta	NODE_397_length_24295_cov_8.042285	6371	5526	SPA_MetaAn_31_l282_st5526_e6371_se-1_ID=397_7	282	D	D-III	Undefined
SRR6263258_contigs.fasta	NODE_54399_length_2877_cov_10.991141	1291	419	23181725_len_292_MetaAn_17	292	D	D-I	Undefined
SRR6263258_contigs.fasta	NODE_66015_length_2591_cov_8.208596	1296	2138	SPA_MetaAn_69_l301_st11_e913_se-1_ID=149249_1	301	B3	B3-IV	Undefined
SRR6263258_contigs.fasta	NODE_66015_length_2591_cov_8.208596	1311	2150	SPA_MetaAn_61_l302_st2155_e3060_se-1_ID=52238_3	302	B3	B3-IV	Undefined
SRR6263258_contigs.fasta	NODE_66015_length_2591_cov_8.208596	1305	2153	11546758_len_305_MetaAn_50	305	B3	B3-IV	Undefined
SRR6263258_contigs.fasta	NODE_66015_length_2591_cov_8.208596	1278	2165	SPA_MetaAn_31_l296_st1278_e2165_se1_ID=66015_2	296	B3	B3-IV	Undefined
SRR6263259_contigs.fasta	NODE_114598_length_1219_cov_2.647766	1219	374	SPA_MetaAn_30_l294_st4575_e5456_se1_ID=4243_4	294	B3	B3-IV	Undefined
SRR6263259_contigs.fasta	NODE_121067_length_1180_cov_2.329778	302	1111	NLA-1	302	A	A-V	NLA
SRR6263259_contigs.fasta	NODE_121067_length_1180_cov_2.329778	176	1114	SPA_MetaAn_32_l313_st176_e1114_se1_ID=121067_1	313	A	A-V	Undefined
SRR6263259_contigs.fasta	NODE_122933_length_1169_cov_2.938061	195	1139	SPA_MetaAn_17_l320_st888_e1847_se-1_ID=73518_3	320	A	A-I	Undefined
SRR6263259_contigs.fasta	NODE_122933_length_1169_cov_2.938061	180	1151	14482245_len_325_MetaAn_31	325	A	A-I	Undefined
SRR6263259_contigs.fasta	NODE_214893_length_831_cov_1.998711	3	830	SPA_MetaAn_33_l305_st116_e1030_se-1_ID=122308_2	305	A	A-I	Undefined
SRR6263259_contigs.fasta	NODE_36754_length_2363_cov_3.377383	303	1175	23181725_len_292_MetaAn_17	292	D	D-I	Undefined
SRR6263259_contigs.fasta	NODE_54824_length_1878_cov_13.356555	1627	776	SPA_MetaAn_35_l284_st3317_e4168_se1_ID=3811_4	284	D	D-III	Undefined
SRR6263259_contigs.fasta	NODE_64392_length_1712_cov_3.391672	1403	552	SPA_MetaAn_32_l284_st552_e1403_se-1_ID=64392_1	284	D	D-III	Undefined
SRR6263322_contigs.fasta	NODE_122308_length_1156_cov_1.712988	1030	116	SPA_MetaAn_33_l305_st116_e1030_se-1_ID=122308_2	305	A	A-I	Undefined
SRR6263322_contigs.fasta	NODE_122308_length_1156_cov_1.712988	1003	128	SPA_MetaAn_33_l296_st220_e1107_se1_ID=88023_2	296	A	A-VII	Undefined
SRR6263322_contigs.fasta	NODE_137303_length_1084_cov_2.946550	1082	408	SPA_MetaAn_32_l277_st345_e1175_se1_ID=36754_1	277	D	D-I	Undefined
SRR6263322_contigs.fasta	NODE_189062_length_908_cov_2.147714	784	2	SPA_MetaAn_17_l320_st888_e1847_se-1_ID=73518_3	320	A	A-I	Undefined
SRR6263322_contigs.fasta	NODE_35286_length_2297_cov_7.310437	492	1343	SPA_MetaAn_35_l284_st3317_e4168_se1_ID=3811_4	284	D	D-III	Undefined
SRR6263322_contigs.fasta	NODE_63607_length_1659_cov_2.782419	587	1462	SPA_MetaAn_24_l292_st88_e963_se-1_ID=35039_1	292	D	D-III	Undefined
SRR6263322_contigs.fasta	NODE_78438_length_1478_cov_3.829234	2	700	35772173_len_267_MetaAn_74	267	D	D-III	Undefined
SRR6263322_contigs.fasta	NODE_88023_length_1387_cov_2.954955	151	1095	SPA_MetaAn_17_l320_st888_e1847_se-1_ID=73518_3	320	A	A-I	Undefined
SRR6263322_contigs.fasta	NODE_88023_length_1387_cov_2.954955	136	1107	14482245_len_325_MetaAn_31	325	A	A-I	Undefined
SRR6263654_contigs.fasta	NODE_103971_length_1141_cov_2.097606	833	18	SPA_MetaAn_34_l272_st18_e833_se-1_ID=103971_1	272	A	A-IX	Undefined
SRR6263654_contigs.fasta	NODE_103971_length_1141_cov_2.097606	872	21	31363163_len_337_MetaAn_74	337	A	A-II	Undefined
SRR6263654_contigs.fasta	NODE_13620_length_3460_cov_5.156828	2766	1828	SPA_MetaAn_24_l322_st2003_e2968_se-1_ID=9394_3	322	A	A-I	Undefined
SRR6263654_contigs.fasta	NODE_13620_length_3460_cov_5.156828	2787	1834	17286107_len_322_MetaAn_74	322	A	A-I	Undefined
SRR6263654_contigs.fasta	NODE_13620_length_3460_cov_5.156828	2736	1837	SPA_MetaAn_33_l305_st116_e1030_se-1_ID=122308_2	305	A	A-I	Undefined
SRR6263654_contigs.fasta	NODE_13620_length_3460_cov_5.156828	2772	1840	SPA_MetaAn_32_l316_st204_e1151_se1_ID=122933_2	316	A	A-I	Undefined
SRR6263654_contigs.fasta	NODE_142169_length_961_cov_1.555188	870	1	8033354_len_317_MetaAn_17	317	A	A-I	Undefined
SRR6263654_contigs.fasta	NODE_15191_length_3266_cov_4.399875	801	1	SPA_MetaAn_24_l292_st88_e963_se-1_ID=35039_1	292	D	D-III	Undefined
SRR6263654_contigs.fasta	NODE_268_length_19389_cov_5.807541	13883	14683	850015_len_267_MetaAn_74	267	D	D-III	Undefined
SRR6263654_contigs.fasta	NODE_37528_length_1991_cov_2.399277	1024	116	SPA_MetaAn_34_l303_st116_e1024_se-1_ID=37528_1	303	A	A-II	Undefined
SRR6263654_contigs.fasta	NODE_37528_length_1991_cov_2.399277	1039	134	11671458_len_355_MetaAn_23	355	A	A-II	Undefined
SRR6263654_contigs.fasta	NODE_73292_length_1383_cov_7.740211	1294	443	41110274_len_285_MetaAn_17	285	D	D-III	Undefined
SRR6263655_contigs.fasta	NODE_107324_length_1034_cov_2.342186	724	2	SPA_MetaAn_26_l284_st311_e1162_se1_ID=42520_2	284	D	D-III	Undefined
SRR6263655_contigs.fasta	NODE_3811_length_5910_cov_3.375918	3317	4168	SPA_MetaAn_35_l284_st3317_e4168_se1_ID=3811_4	284	D	D-III	Undefined
SRR6263655_contigs.fasta	NODE_60338_length_1412_cov_2.366249	267	1118	SPA_MetaAn_57_l284_st308_e1159_se-1_ID=35774_2	284	B3	B3-III	Undefined
SRR6263655_contigs.fasta	NODE_92549_length_1120_cov_1.651643	1084	221	SPA_MetaAn_17_l296_st2112_e2999_se1_ID=43852_3	296	A	A-IV	Undefined
SRR6263737_contigs.fasta	NODE_63807_length_1645_cov_2.564151	1516	698	SPA_MetaAn_33_l305_st116_e1030_se-1_ID=122308_2	305	A	A-I	Undefined
SRR6265866_contigs.fasta	NODE_120031_length_1095_cov_1.820192	955	2	SPA_MetaAn_24_l322_st2003_e2968_se-1_ID=9394_3	322	A	A-I	Undefined
SRR6265866_contigs.fasta	NODE_158374_length_939_cov_1.306561	936	85	SPA_MetaAn_57_l284_st308_e1159_se-1_ID=35774_2	284	B3	B3-III	Undefined
SRR6265866_contigs.fasta	NODE_76014_length_1408_cov_2.039911	679	1404	SPA_MetaAn_33_l305_st116_e1030_se-1_ID=122308_2	305	A	A-I	Undefined
SRR6265866_contigs.fasta	NODE_76014_length_1408_cov_2.039911	628	1407	19149491_len_317_MetaAn_17	317	A	A-I	Undefined
SRR6265866_contigs.fasta	NODE_95714_length_1241_cov_2.413153	1180	326	SPA_MetaAn_24_l322_st2003_e2968_se-1_ID=9394_3	322	A	A-I	Undefined
SRR6265866_contigs.fasta	NODE_95714_length_1241_cov_2.413153	1234	332	17286107_len_322_MetaAn_74	322	A	A-I	Undefined
SRR6265866_contigs.fasta	NODE_95714_length_1241_cov_2.413153	1237	335	SPA_MetaAn_17_l320_st888_e1847_se-1_ID=73518_3	320	A	A-I	Undefined
SRR6265866_contigs.fasta	NODE_95714_length_1241_cov_2.413153	1210	338	SPA_MetaAn_33_l296_st220_e1107_se1_ID=88023_2	296	A	A-VII	Undefined
ERR4182670_contigs.fasta	NODE_123537_length_1447_cov_1.395115	953	78	SPA_MetaAn_3_l292_st78_e953_se-1_ID=123537_1	292	B3	B3-IV	Undefined
ERR4182670_contigs.fasta	NODE_123537_length_1447_cov_1.395115	950	84	21091_len_294_MetaAn_65	294	B3	B3-IV	Undefined
ERR4182670_contigs.fasta	NODE_123537_length_1447_cov_1.395115	923	87	4747673_len_294_MetaAn_65	294	B3	B3-IV	Undefined
ERR4182670_contigs.fasta	NODE_12539_length_6378_cov_3.514155	2928	2044	SPA_MetaAn_3_l295_st2044_e2928_se-1_ID=12539_4	295	A	A-II	Undefined
ERR4182670_contigs.fasta	NODE_143452_length_1302_cov_6.158781	211	1020	7921501_len_271_MetaAn_3	271	B1	B1-III	Undefined
ERR4182670_contigs.fasta	NODE_150541_length_1259_cov_2.147841	121	1026	SPA_MetaAn_3_l302_st121_e1026_se1_ID=150541_1	302	A	A-II	Undefined
ERR4182670_contigs.fasta	NODE_159174_length_1209_cov_4.886482	108	1013	SPA_MetaAn_7_l302_st145_e1050_se1_ID=113997_2	302	A	A-I	Undefined
ERR4182670_contigs.fasta	NODE_174007_length_1136_cov_2.814061	75	920	SPA_MetaAn_3_l288_st172_e1035_se1_ID=176893_2	288	A	A-III	Undefined
ERR4182670_contigs.fasta	NODE_176893_length_1123_cov_4.640449	172	1035	SPA_MetaAn_3_l288_st172_e1035_se1_ID=176893_2	288	A	A-III	Undefined
ERR4182670_contigs.fasta	NODE_211821_length_989_cov_2.217345	979	152	PJM-1	301	B3	B3-V	PJM
ERR4182670_contigs.fasta	NODE_28541_length_3838_cov_3.645519	103	963	SPA_MetaAn_1_l298_st8406_e9299_se-1_ID=2894_10	298	A	A-II	Undefined
ERR4182670_contigs.fasta	NODE_28541_length_3838_cov_3.645519	88	972	SPA_MetaAn_3_l295_st88_e972_se1_ID=28541_1	295	A	A-II	Undefined
ERR4182670_contigs.fasta	NODE_35239_length_3354_cov_3.743559	1103	354	SPA_MetaAn_3_l250_st354_e1103_se-1_ID=35239_1	250	B1	B1-III	Undefined
ERR4182670_contigs.fasta	NODE_45634_length_2841_cov_10.206748	1698	2546	30337254_len_307_MetaAn_63	307	B3	B3-V	Undefined
ERR4182670_contigs.fasta	NODE_45634_length_2841_cov_10.206748	1536	2552	382471_len_340_MetaAn_3	340	B3	B3-V	Undefined
ERR4182670_contigs.fasta	NODE_45635_length_2841_cov_9.360373	1698	2546	30337254_len_307_MetaAn_63	307	B3	B3-V	Undefined
ERR4182670_contigs.fasta	NODE_45635_length_2841_cov_9.360373	1524	2549	7721579_len_363_MetaAn_3	363	B3	B3-V	Undefined
ERR4182670_contigs.fasta	NODE_45635_length_2841_cov_9.360373	1536	2552	25597236_len_340_MetaAn_3	340	B3	B3-V	Undefined
ERR4182670_contigs.fasta	NODE_49115_length_2708_cov_12.000754	1368	169	13409606_len_401_MetaAn_3	401	C	C-I	Undefined
ERR4182670_contigs.fasta	NODE_52430_length_2591_cov_4.142744	1493	2293	SPA_MetaAn_1_l267_st5079_e5879_se1_ID=3932_5	267	B1	B1-III	Undefined
ERR4182670_contigs.fasta	NODE_74815_length_2042_cov_4.224962	2042	1275	5852343_len_296_MetaAn_66	296	A	A-II	Undefined
SRR6265795_contigs.fasta	NODE_143257_length_755_cov_2.004286	3	650	35772173_len_267_MetaAn_74	267	D	D-III	Undefined
SRR6266047_contigs.fasta	NODE_62673_length_1210_cov_2.328139	1136	177	SPA_MetaAn_17_l320_st888_e1847_se-1_ID=73518_3	320	A	A-I	Undefined
SRR6266047_contigs.fasta	NODE_9184_length_3731_cov_3.444233	1573	842	2032954_len_245_MetaAn_43	245	B1	B1-I	Undefined
SRR6266108_contigs.fasta	NODE_34013_length_1821_cov_4.675538	1603	752	SPA_MetaAn_35_l284_st3317_e4168_se1_ID=3811_4	284	D	D-III	Undefined
SRR6266108_contigs.fasta	NODE_7619_length_4146_cov_2.778783	2081	2923	SPA_MetaAn_69_l301_st11_e913_se-1_ID=149249_1	301	B3	B3-IV	Undefined
SRR6266108_contigs.fasta	NODE_7619_length_4146_cov_2.778783	2090	2935	11546758_len_305_MetaAn_50	305	B3	B3-IV	Undefined
SRR6266108_contigs.fasta	NODE_7619_length_4146_cov_2.778783	2063	3007	SPA_MetaAn_30_l315_st941_e1885_se-1_ID=36976_3	315	B3	B3-IV	Undefined
SRR6266133_contigs.fasta	NODE_25891_length_1986_cov_3.582600	895	1809	SPA_MetaAn_45_l305_st895_e1809_se1_ID=25891_2	305	B3	B3-IV	Undefined
SRR6266134_contigs.fasta	NODE_35055_length_2192_cov_2.250351	723	1	SPA_MetaAn_31_l296_st1278_e2165_se1_ID=66015_2	296	B3	B3-IV	Undefined
SRR6266134_contigs.fasta	NODE_89177_length_1332_cov_3.026625	3	869	33482360_len_309_MetaAn_31	309	D	D-III	Undefined
SRR6266221_contigs.fasta	NODE_2763_length_12661_cov_9.501428	8627	9541	357478_len_306_MetaAn_47	306	B3	B3-VI	Undefined
SRR6266221_contigs.fasta	NODE_8053_length_5807_cov_5.359179	3061	2141	SPA_MetaAn_47_l307_st2141_e3061_se-1_ID=8053_3	307	B3	B3-V	Undefined
SRR6266221_contigs.fasta	NODE_8053_length_5807_cov_5.359179	3064	2147	7687177_len_317_MetaAn_57	317	B3	B3-V	Undefined
SRR6266221_contigs.fasta	NODE_8053_length_5807_cov_5.359179	3031	2153	SPA_MetaAn_58_l305_st274_e1188_se-1_ID=14462_2	305	B3	B3-V	Undefined
SRR6266221_contigs.fasta	NODE_9126_length_5316_cov_3.602927	59	868	5066244_len_299_MetaAn_73	299	B3	B3-V	Undefined
SRR6266221_contigs.fasta	NODE_9126_length_5316_cov_3.602927	2	880	4392793_len_299_MetaAn_73	299	B3	B3-V	Undefined
SRR6266221_contigs.fasta	NODE_97671_length_1108_cov_1.926876	190	1083	5066244_len_299_MetaAn_73	299	B3	B3-V	Undefined
SRR6429832_contigs.fasta	NODE_1160_length_2574_cov_2.570067	758	1582	4519186_len_281_MetaAn_59	281	B3	B3-IV	Undefined
SRR6429832_contigs.fasta	NODE_1160_length_2574_cov_2.570067	764	1585	SPA_MetaAn_83_l305_st11_e925_se-1_ID=174187_1	305	B3	B3-IV	Undefined
SRR6429832_contigs.fasta	NODE_1160_length_2574_cov_2.570067	728	1594	SPA_MetaAn_49_l289_st728_e1594_se1_ID=1160_2	289	B3	B3-IV	Undefined
SRR6429832_contigs.fasta	NODE_31511_length_822_cov_1.195567	726	10	20374069_len_290_MetaAn_69	290	D	D-III	Undefined
SRR6429832_contigs.fasta	NODE_31511_length_822_cov_1.195567	723	55	OXA-1091	272	D	D-III	OXA
ERR4182673_contigs.fasta	NODE_1370_length_5373_cov_6.481948	572	1495	10760663_len_309_MetaAn_4	309	B3	B3-III	Undefined
ERR4182673_contigs.fasta	NODE_221_length_10807_cov_6.104353	1809	2642	428002_len_293_MetaAn_59	293	B3	B3-IV	Undefined
ERR4182673_contigs.fasta	NODE_221_length_10807_cov_6.104353	1797	2645	21091_len_294_MetaAn_65	294	B3	B3-IV	Undefined
ERR4182673_contigs.fasta	NODE_221_length_10807_cov_6.104353	1779	2666	SPA_MetaAn_4_l296_st1779_e2666_se1_ID=221_5	296	B3	B3-IV	Undefined
ERR4182673_contigs.fasta	NODE_71266_length_1016_cov_1.580645	1014	286	1026214_len_303_MetaAn_21	303	A	A-II	Undefined
SRR13165308_contigs.fasta	NODE_10850_length_7278_cov_3.414648	3517	4317	OXA-789	275	D	D-II	OXA
SRR13165308_contigs.fasta	NODE_10850_length_7278_cov_3.414648	3493	4320	SPA_MetaAn_50_l276_st3493_e4320_se1_ID=10850_6	276	D	D-II	Undefined
SRR13165308_contigs.fasta	NODE_109182_length_2121_cov_2.762827	1371	520	SPA_MetaAn_50_l284_st520_e1371_se-1_ID=109182_2	284	D	D-III	Undefined
SRR13165308_contigs.fasta	NODE_123827_length_1976_cov_3.893805	1170	178	37297952_len_332_MetaAn_50	332	B3	B3-V	Undefined
SRR13165308_contigs.fasta	NODE_190379_length_1552_cov_4.036072	1254	403	SPA_MetaAn_57_l284_st308_e1159_se-1_ID=35774_2	284	B3	B3-III	Undefined
SRR13165308_contigs.fasta	NODE_276595_length_1253_cov_5.946578	1251	397	2379406_len_309_MetaAn_58	309	B3	B3-V	Undefined
SRR13165308_contigs.fasta	NODE_280415_length_1244_cov_2.736754	548	1243	SPA_MetaAn_31_l282_st5526_e6371_se-1_ID=397_7	282	D	D-III	Undefined
SRR13165308_contigs.fasta	NODE_286712_length_1228_cov_2.782609	831	1	1842986_len_304_MetaAn_65	304	A	A-II	Undefined
SRR13165308_contigs.fasta	NODE_30273_length_4261_cov_12.586543	3258	4130	13023943_len_328_MetaAn_50	328	B3	B3-III	Undefined
SRR13165308_contigs.fasta	NODE_33556_length_4035_cov_6.452010	2522	3421	SPA_MetaAn_50_l300_st2522_e3421_se1_ID=33556_4	300	B3	B3-III	Undefined
SRR13165308_contigs.fasta	NODE_383834_length_1038_cov_8.509664	873	121	TEM-P14	251	A	A-IV	TEM
SRR13165308_contigs.fasta	NODE_383834_length_1038_cov_8.509664	903	43	SPA_MetaAn_5_l287_st2253_e3113_se-1_ID=11060_2	287	A	A-IV	Undefined
SRR13165308_contigs.fasta	NODE_383834_length_1038_cov_8.509664	894	46	TEM-P121	283	A	A-IV	TEM
SRR13165308_contigs.fasta	NODE_383834_length_1038_cov_8.509664	867	85	TEM-P118	261	A	A-IV	TEM
SRR13165308_contigs.fasta	NODE_463450_length_932_cov_1.785633	2	721	SPA_MetaAn_50_l279_st1066_e1902_se-1_ID=69806_4	279	B3	B3-IV	Undefined
SRR13165308_contigs.fasta	NODE_530547_length_862_cov_1.961586	759	1	SPA_MetaAn_57_l284_st308_e1159_se-1_ID=35774_2	284	B3	B3-III	Undefined
SRR13165308_contigs.fasta	NODE_58644_length_2980_cov_4.836581	2060	1092	SPA_MetaAn_50_l323_st1092_e2060_se-1_ID=58644_2	323	B3	B3-III	Undefined
SRR13165308_contigs.fasta	NODE_69806_length_2712_cov_4.635303	1902	1066	SPA_MetaAn_50_l279_st1066_e1902_se-1_ID=69806_4	279	B3	B3-IV	Undefined
SRR13165308_contigs.fasta	NODE_69806_length_2712_cov_4.635303	1821	1075	SPA_MetaAn_54_l279_st191_e1027_se-1_ID=43151_2	279	B3	B3-IV	Undefined
SRR13165308_contigs.fasta	NODE_72507_length_2657_cov_3.741353	1481	672	SPA_MetaAn_17_l337_st902_e1912_se-1_ID=125791_2	337	A	A-I	Undefined
SRR13165308_contigs.fasta	NODE_94765_length_2293_cov_9.833333	809	3	27552520_len_293_MetaAn_50	293	B3	B3-IV	Undefined
SRR13165308_contigs.fasta	NODE_94765_length_2293_cov_9.833333	791	6	SPA_MetaAn_69_l301_st11_e913_se-1_ID=149249_1	301	B3	B3-IV	Undefined
SRR17689995_contigs.fasta	NODE_13354_length_2432_cov_2.880101	1701	775	SPA_MetaAn_53_l309_st775_e1701_se-1_ID=13354_2	309	B3	B3-V	Undefined
SRR17689995_contigs.fasta	NODE_13354_length_2432_cov_2.880101	1689	784	SPA_MetaAn_17_l305_st954_e1868_se1_ID=119899_3	305	B3	B3-V	Undefined
SRR17689995_contigs.fasta	NODE_16640_length_2134_cov_4.728235	323	1174	SPA_MetaAn_57_l284_st308_e1159_se-1_ID=35774_2	284	B3	B3-III	Undefined
SRR17689995_contigs.fasta	NODE_21752_length_1832_cov_3.186269	958	44	SPA_MetaAn_53_l305_st44_e958_se-1_ID=21752_1	305	B3	B3-V	Undefined
SRR17689995_contigs.fasta	NODE_21752_length_1832_cov_3.186269	961	56	13972784_len_309_MetaAn_28	309	B3	B3-V	Undefined
SRR17689995_contigs.fasta	NODE_23854_length_1742_cov_1.941316	878	3	39928447_len_332_MetaAn_50	332	B3	B3-V	Undefined
SRR17689995_contigs.fasta	NODE_3469_length_5859_cov_3.961923	3095	2187	SPA_MetaAn_53_l303_st2187_e3095_se-1_ID=3469_4	303	B3	B3-VI	Undefined
SRR17689995_contigs.fasta	NODE_3469_length_5859_cov_3.961923	3074	2193	B3SU1-1	303	B3	B3-VI	B3SU1
SRR17689995_contigs.fasta	NODE_35764_length_1393_cov_4.210762	772	2	SPA_MetaAn_23_l322_st4168_e5133_se-1_ID=11371_6	322	A	A-II	Undefined
SRR17689995_contigs.fasta	NODE_59445_length_1065_cov_3.659406	905	27	SPA_MetaAn_20_l300_st1322_e2221_se1_ID=9070_2	300	A	A-IV	Undefined
SRR17689995_contigs.fasta	NODE_6086_length_3998_cov_9.555415	908	1816	2379406_len_309_MetaAn_58	309	B3	B3-V	Undefined
SRR17689995_contigs.fasta	NODE_6086_length_3998_cov_9.555415	911	1825	433673_len_306_MetaAn_53	306	B3	B3-V	Undefined
SRR17689995_contigs.fasta	NODE_7003_length_3646_cov_4.152604	2768	1851	SPA_MetaAn_53_l306_st1851_e2768_se-1_ID=7003_3	306	B3	B3-V	Undefined
SRR17689995_contigs.fasta	NODE_7003_length_3646_cov_4.152604	2777	1863	3795181_len_310_MetaAn_58	310	B3	B3-V	Undefined
SRR17689995_contigs.fasta	NODE_8796_length_3164_cov_10.587970	2940	1960	SPA_MetaAn_53_l327_st1960_e2940_se-1_ID=8796_3	327	B3	B3-V	Undefined
SRR17689980_contigs.fasta	NODE_11717_length_2612_cov_3.216660	477	1271	SPA_MetaAn_50_l279_st1066_e1902_se-1_ID=69806_4	279	B3	B3-IV	Undefined
SRR17689980_contigs.fasta	NODE_1643_length_6138_cov_4.652310	2386	3210	1910646_len_281_MetaAn_59	281	B3	B3-IV	Undefined
SRR17689980_contigs.fasta	NODE_1643_length_6138_cov_4.652310	2371	3213	2729979_len_324_MetaAn_61	324	B3	B3-IV	Undefined
SRR17689980_contigs.fasta	NODE_1643_length_6138_cov_4.652310	2332	3219	SPA_MetaAn_69_l301_st11_e913_se-1_ID=149249_1	301	B3	B3-IV	Undefined
SRR17689980_contigs.fasta	NODE_1643_length_6138_cov_4.652310	2356	3225	SPA_MetaAn_61_l302_st2155_e3060_se-1_ID=52238_3	302	B3	B3-IV	Undefined
SRR17689980_contigs.fasta	NODE_1643_length_6138_cov_4.652310	2329	3231	5424715_len_302_MetaAn_54	302	B3	B3-IV	Undefined
SRR17689980_contigs.fasta	NODE_43151_length_1378_cov_2.728647	1027	191	SPA_MetaAn_54_l279_st191_e1027_se-1_ID=43151_2	279	B3	B3-IV	Undefined
SRR17689980_contigs.fasta	NODE_44318_length_1360_cov_1.810728	533	1360	5066244_len_299_MetaAn_73	299	B3	B3-V	Undefined
SRR17689980_contigs.fasta	NODE_5582_length_3645_cov_3.213649	87	938	SPA_MetaAn_54_l284_st87_e938_se1_ID=5582_2	284	B3	B3-III	Undefined
SRR17690002_contigs.fasta	NODE_3218_length_3319_cov_2.394301	2660	1824	SPA_MetaAn_56_l279_st1824_e2660_se-1_ID=3218_2	279	B3	B3-IV	Undefined
SRR17690002_contigs.fasta	NODE_3218_length_3319_cov_2.394301	2582	1836	SPA_MetaAn_50_l279_st1066_e1902_se-1_ID=69806_4	279	B3	B3-IV	Undefined
SRR17689998_contigs.fasta	NODE_1540_length_8023_cov_7.797816	378	1151	SPA_MetaAn_62_l291_st178_e1050_se1_ID=48827_2	291	A	A-III	Undefined
SRR17689998_contigs.fasta	NODE_1540_length_8023_cov_7.797816	273	1154	4519639_len_295_MetaAn_57	295	A	A-III	Undefined
SRR17689998_contigs.fasta	NODE_15438_length_2523_cov_2.866694	1086	364	SPA_MetaAn_57_l241_st364_e1086_se-1_ID=15438_1	241	B1	B1-I	Undefined
SRR17689998_contigs.fasta	NODE_164607_length_682_cov_6.629984	1	681	3249892_len_245_MetaAn_57	245	B1	B1-III	Undefined
SRR17689998_contigs.fasta	NODE_27400_length_1855_cov_3.305556	630	1508	SPA_MetaAn_47_l307_st2141_e3061_se-1_ID=8053_3	307	B3	B3-V	Undefined
SRR17689998_contigs.fasta	NODE_27400_length_1855_cov_3.305556	654	1511	SPA_MetaAn_53_l306_st1851_e2768_se-1_ID=7003_3	306	B3	B3-V	Undefined
SRR17689998_contigs.fasta	NODE_27400_length_1855_cov_3.305556	609	1523	SPA_MetaAn_57_l305_st609_e1523_se1_ID=27400_2	305	B3	B3-V	Undefined
SRR17689998_contigs.fasta	NODE_27881_length_1837_cov_3.848485	1526	636	SPA_MetaAn_57_l297_st636_e1526_se-1_ID=27881_2	297	B3	B3-V	Undefined
SRR17689998_contigs.fasta	NODE_27909_length_1836_cov_3.138125	693	1562	SPA_MetaAn_58_l305_st274_e1188_se-1_ID=14462_2	305	B3	B3-V	Undefined
